,g_true,em_it,g_it,gf_it
0,0.0,7,8,8
1,0.0,12,10,4
2,0.0,30,8,5
3,0.0,30,7,5
4,0.0,7,6,7
5,0.0,13,9,30
6,0.0,14,7,5
7,0.0,19,9,3
8,0.0,30,2,5
9,0.0,30,7,11
10,0.1,30,9,10
11,0.1,16,10,21
12,0.1,20,10,13
13,0.1,25,9,9
14,0.1,11,7,6
15,0.1,8,7,9
16,0.1,12,8,9
17,0.1,30,14,14
18,0.1,13,9,17
19,0.1,11,9,16
20,0.2,12,10,14
21,0.2,30,8,8
22,0.2,30,10,7
23,0.2,30,11,9
24,0.2,11,8,10
25,0.2,18,7,7
26,0.2,14,10,9
27,0.2,30,27,17
28,0.2,23,14,19
29,0.2,9,8,6
30,0.3,29,9,11
31,0.3,23,11,10
32,0.3,14,10,11
33,0.3,30,10,17
34,0.3,11,9,1
35,0.3,14,9,8
36,0.3,28,10,9
37,0.3,10,8,8
38,0.3,11,8,7
39,0.3,30,9,8
40,0.4,13,12,10
41,0.4,26,12,16
42,0.4,9,10,10
43,0.4,22,13,22
44,0.4,17,6,12
45,0.4,9,9,10
46,0.4,25,13,9
47,0.4,13,15,6
48,0.4,24,16,16
49,0.4,12,12,10
50,0.5,15,11,9
51,0.5,30,9,15
52,0.5,28,17,15
53,0.5,30,14,15
54,0.5,27,19,25
55,0.5,30,11,14
56,0.5,30,17,21
57,0.5,25,10,19
58,0.5,30,7,18
59,0.5,30,19,30
60,0.6,23,9,8
61,0.6,19,9,19
62,0.6,30,7,10
63,0.6,25,11,12
64,0.6,14,11,16
65,0.6,13,9,11
66,0.6,15,10,14
67,0.6,15,8,11
68,0.6,26,14,17
69,0.6,25,16,17
70,0.7,30,8,9
71,0.7,28,10,17
72,0.7,30,9,27
73,0.7,30,10,10
74,0.7,30,18,18
75,0.7,23,12,16
76,0.7,30,12,8
77,0.7,30,12,12
78,0.7,30,16,24
79,0.7,12,15,1
80,0.8,18,14,7
81,0.8,13,7,16
82,0.8,18,9,13
83,0.8,19,11,7
84,0.8,17,11,9
85,0.8,15,18,12
86,0.8,17,11,15
87,0.8,15,12,13
88,0.8,21,10,13
89,0.8,30,8,1
90,0.9,9,8,12
91,0.9,14,12,13
92,0.9,26,12,12
93,0.9,7,7,5
94,0.9,21,10,11
95,0.9,21,25,16
96,0.9,14,7,8
97,0.9,16,10,11
98,0.9,8,6,8
99,0.9,30,16,10
100,1.0,11,8,8
101,1.0,11,7,11
102,1.0,15,7,7
103,1.0,29,12,12
104,1.0,11,2,8
105,1.0,16,10,10
106,1.0,10,9,8
107,1.0,7,8,8
108,1.0,30,2,12
109,1.0,9,8,8
0,0.0,30,9,5
1,0.0,25,9,5
2,0.0,21,10,18
3,0.0,6,6,4
4,0.0,20,9,5
5,0.0,12,7,5
6,0.0,8,7,7
7,0.0,10,10,5
8,0.0,30,9,4
9,0.0,30,9,6
10,0.1,30,9,8
11,0.1,8,8,6
12,0.1,20,9,1
13,0.1,9,8,7
14,0.1,18,10,16
15,0.1,30,19,12
16,0.1,23,8,7
17,0.1,13,10,10
18,0.1,19,8,9
19,0.1,12,10,11
20,0.2,10,11,9
21,0.2,30,13,9
22,0.2,30,14,13
23,0.2,10,9,5
24,0.2,18,21,10
25,0.2,12,11,11
26,0.2,30,10,7
27,0.2,17,8,11
28,0.2,20,2,19
29,0.2,30,12,14
30,0.3,24,12,11
31,0.3,10,10,8
32,0.3,30,12,11
33,0.3,25,14,14
34,0.3,9,7,11
35,0.3,13,9,10
36,0.3,8,9,11
37,0.3,30,20,13
38,0.3,30,11,11
39,0.3,10,10,9
40,0.4,30,16,15
41,0.4,21,24,14
42,0.4,10,8,7
43,0.4,14,11,12
44,0.4,24,10,20
45,0.4,14,9,11
46,0.4,9,8,11
47,0.4,30,11,9
48,0.4,13,12,29
49,0.4,13,12,12
50,0.5,30,12,13
51,0.5,23,8,22
52,0.5,30,12,22
53,0.5,8,8,9
54,0.5,7,9,8
55,0.5,10,9,12
56,0.5,15,2,22
57,0.5,30,19,13
58,0.5,18,10,9
59,0.5,10,8,13
60,0.6,30,14,20
61,0.6,25,11,8
62,0.6,30,3,21
63,0.6,21,2,24
64,0.6,30,9,13
65,0.6,27,2,16
66,0.6,18,12,24
67,0.6,19,12,17
68,0.6,28,3,17
69,0.6,15,11,9
70,0.7,10,3,11
71,0.7,30,9,17
72,0.7,16,10,17
73,0.7,28,12,11
74,0.7,27,12,10
75,0.7,30,9,22
76,0.7,30,25,24
77,0.7,30,17,16
78,0.7,9,9,8
79,0.7,30,14,26
80,0.8,30,8,13
81,0.8,13,2,11
82,0.8,28,13,19
83,0.8,30,27,17
84,0.8,30,9,12
85,0.8,7,7,6
86,0.8,9,9,10
87,0.8,13,8,10
88,0.8,8,9,12
89,0.8,16,9,9
90,0.9,12,10,15
91,0.9,12,8,10
92,0.9,10,8,16
93,0.9,30,11,21
94,0.9,11,12,10
95,0.9,15,8,11
96,0.9,30,14,15
97,0.9,15,11,14
98,0.9,30,11,13
99,0.9,9,8,10
100,1.0,11,10,9
101,1.0,19,9,11
102,1.0,21,8,9
103,1.0,10,10,8
104,1.0,9,7,6
105,1.0,9,9,24
106,1.0,7,6,9
107,1.0,7,7,7
108,1.0,10,9,7
109,1.0,15,6,7
