,p_g,em,g,gf
0,0.0,0.548729451349,0.496544652611,0.537152157615
1,0.0,0.801880430797,0.77135562678,0.602886378447
2,0.0,0.501894058158,0.500731110857,0.62928186959
3,0.0,0.634045583386,0.544503259184,0.603137990955
4,0.0,0.552356120798,0.552390022862,0.62049073242
5,0.0,0.503488629226,0.50102294563,0.603292735409
6,0.0,0.532027903786,0.520344168212,0.613302121173
7,0.0,0.685140621734,0.665696301868,0.57346163601
8,0.0,0.449512874701,0.452897942252,0.557472687173
9,0.0,0.441122482886,0.472026746666,0.522662775184
10,0.1,0.48418990588,0.490625408984,0.568729888824
11,0.1,0.491604830718,0.48336778885,0.580230288882
12,0.1,0.435001118778,0.43584221569,0.572090751168
13,0.1,0.752503963092,0.676802755467,0.614054225506
14,0.1,0.596103619081,0.546905822524,0.587653242188
15,0.1,0.666240634525,0.650114131357,0.603712048159
16,0.1,0.271012700945,0.431264222055,0.603110638985
17,0.1,0.597610304643,0.587808028798,0.629266656425
18,0.1,0.65663430899,0.545765427404,0.550600126923
19,0.1,0.571194309354,0.579213189049,0.582310007677
20,0.2,0.41707649033,0.470369045795,0.543372476394
21,0.2,0.662689545448,0.58141456487,0.565759775623
22,0.2,0.60774710216,0.608204197401,0.618981853456
23,0.2,0.532172469958,0.556427177415,0.579481147378
24,0.2,0.540035537506,0.52731667752,0.608675245567
25,0.2,0.521921488007,0.508460616058,0.515738092896
26,0.2,0.644205695525,0.644173031523,0.665015699745
27,0.2,0.531468643156,0.515664234358,0.663070851141
28,0.2,0.689481641088,0.690191196746,0.613229206533
29,0.2,0.516039089559,0.500992820507,0.530611022809
30,0.3,0.32884505874,0.412394367415,0.351281620949
31,0.3,0.39983162613,0.419831425357,0.481818493452
32,0.3,0.614353890448,0.493759364452,0.49170062456
33,0.3,0.523911003756,0.517542170752,0.546027209214
34,0.3,0.580699958423,0.543965481381,0.468668230644
35,0.3,0.481146541823,0.4817646642,0.548427256485
36,0.3,0.521765712399,0.519857169059,0.526328507213
37,0.3,0.385836707402,0.454561490499,0.502268252334
38,0.3,0.541510086844,0.504161957714,0.549312755914
39,0.3,0.634706392581,0.634629750422,0.549563791683
40,0.4,0.401164724541,0.499844216576,0.562125824837
41,0.4,0.699978961648,0.699959155685,0.666088458074
42,0.4,0.607163779538,0.597914374699,0.60298209445
43,0.4,0.504111742059,0.509787717716,0.564507310541
44,0.4,0.719930277442,0.735839950665,0.661174341561
45,0.4,0.604281841671,0.550137540778,0.634942840654
46,0.4,0.505469725031,0.535877166763,0.516036157701
47,0.4,0.532244478343,0.522570784436,0.549381230616
48,0.4,0.571782149967,0.56227684743,0.609334213616
49,0.4,0.841379264702,0.806183805119,0.747500163614
50,0.5,0.724137929653,0.723740550036,0.704046391813
51,0.5,0.686266236693,0.657806485542,0.660972509461
52,0.5,0.486369750371,0.498266150267,0.615699784425
53,0.5,0.315699324791,0.481362424054,0.633931638044
54,0.5,0.614363255467,0.499580896298,0.505842821987
55,0.5,0.532748370997,0.516277309127,0.575766097728
56,0.5,0.551971901949,0.52380481274,0.566322809735
57,0.5,0.517396863278,0.506923030007,0.580686718315
58,0.5,0.776050030181,0.775739900844,0.778271198438
59,0.5,0.519196712273,0.506829378061,0.572162468874
60,0.6,0.679015740136,0.547780003168,0.626590323786
61,0.6,0.612709541718,0.648903118016,0.498267878701
62,0.6,0.568729705794,0.568610236993,0.629802206203
63,0.6,0.674488484671,0.674374497503,0.623092896586
64,0.6,0.69605313766,0.624423412511,0.660059344239
65,0.6,0.636630109307,0.622789730575,0.655046237667
66,0.6,0.754724799964,0.652800903568,0.716663711523
67,0.6,0.611491338466,0.611063046478,0.52741567142
68,0.6,0.866264990145,0.866540766003,0.829007980091
69,0.6,0.866759345897,0.866916430703,0.719271519862
70,0.7,0.639675498622,0.590482102947,0.583896317265
71,0.7,0.488722307719,0.492386063338,0.496332134989
72,0.7,0.672080514294,0.643544386798,0.600442441797
73,0.7,0.7710149818,0.770698213891,0.683834457493
74,0.7,0.605967190192,0.563610467252,0.618650105979
75,0.7,0.463345813934,0.463342091919,0.56203895834
76,0.7,0.696712281302,0.696552987693,0.769935014754
77,0.7,0.596215679605,0.57973256496,0.606487554659
78,0.7,0.619233184296,0.595230910614,0.695220653799
79,0.7,0.531289886233,0.518365829094,0.493362908608
80,0.8,0.626413625066,0.578217380054,0.645048228639
81,0.8,0.525573686034,0.525568319225,0.490876877974
82,0.8,0.660953602867,0.631964157803,0.667884491741
83,0.8,0.702145018113,0.567296392659,0.614958254184
84,0.8,0.767398452739,0.765307842269,0.765324741541
85,0.8,0.745314216687,0.742546836495,0.716897175077
86,0.8,0.57933726446,0.562653635574,0.570800864668
87,0.8,0.60043800907,0.542832845178,0.621301628735
88,0.8,0.653346367532,0.571165165874,0.734676653189
89,0.8,0.776543650114,0.67182710102,0.682292627372
90,0.9,0.619263826403,0.618937689628,0.663937266626
91,0.9,0.86043017982,0.678202759568,0.515339137805
92,0.9,0.609466693024,0.581572904085,0.683560363949
93,0.9,0.805762373093,0.775863932274,0.76368001424
94,0.9,0.612788641565,0.578284936404,0.749893812102
95,0.9,0.738472124434,0.73654901174,0.679068549486
96,0.9,0.61633043049,0.596565170955,0.651430835537
97,0.9,0.730388871736,0.730228118331,0.800518662654
98,0.9,0.733382815811,0.736007709284,0.773876648398
99,0.9,0.743629492254,0.743630273608,0.752377710635
100,1.0,0.805809097066,0.805793261058,0.805816119404
101,1.0,0.767673240605,0.712807868018,0.742861992056
102,1.0,0.857838670239,0.857735415062,0.857789549052
103,1.0,0.775878327114,0.775388447173,0.775619913851
104,1.0,0.757503827788,0.706035645292,0.757623782249
105,1.0,0.981199010373,0.98114944716,0.98850941374
106,1.0,0.625576785223,0.600116104299,0.570171659423
107,1.0,0.68322119204,0.628291785536,0.64661982515
108,1.0,0.652116076417,0.53048776616,0.606447207464
109,1.0,0.83753857639,0.702506726111,0.770918737305
