,g_true,em_d,g_d,gf_d
0,0.0,0.523979000457,0.52172942169,0.493894018943
1,0.0,0.547826556883,0.546015823804,0.501378526737
2,0.0,0.431944116359,0.447876850554,0.498851972129
3,0.0,0.463810730684,0.509029824562,0.504213064957
4,0.0,0.418091272796,0.415031630692,0.495634402481
5,0.0,0.433905257724,0.429835104068,0.486493349543
6,0.0,0.543346153173,0.542372835872,0.506796781121
7,0.0,0.459923495192,0.478684147765,0.508759261493
8,0.0,0.545822033137,0.507902073816,0.502666215799
9,0.0,0.578681884388,0.576314372548,0.504476042713
10,0.1,0.494016091144,0.514354265378,0.698330497251
11,0.1,0.440699903952,0.448107517574,0.529665765199
12,0.1,0.48121825453,0.480884596155,0.610524730533
13,0.1,0.547290404076,0.533157612201,0.705877649269
14,0.1,0.541401680623,0.540718569469,0.70300570908
15,0.1,0.429427328283,0.429703061366,0.657357737998
16,0.1,0.494001874755,0.493124057622,0.68506614012
17,0.1,0.566020435104,0.511286402514,0.665687961592
18,0.1,0.570146814816,0.556109354549,0.568851165604
19,0.1,0.493026492821,0.495019048491,0.603440068822
20,0.2,0.459872857944,0.458402023221,0.623652295674
21,0.2,0.568842862281,0.572899663575,0.696741066875
22,0.2,0.626016395486,0.626063315805,0.710887547581
23,0.2,0.448639844624,0.45240746554,0.678532344117
24,0.2,0.589871261074,0.59069900649,0.751161847758
25,0.2,0.620659594269,0.605985500905,0.72471718305
26,0.2,0.589957849241,0.585792417256,0.729201205401
27,0.2,0.515865254579,0.518498443121,0.634864782758
28,0.2,0.464488528262,0.519233859684,0.573933089535
29,0.2,0.641719109804,0.640208886938,0.765034222169
30,0.3,0.500343175835,0.504441993849,0.651521761675
31,0.3,0.551819104532,0.562353299937,0.692152173518
32,0.3,0.518454364986,0.518968069809,0.686822788601
33,0.3,0.451738007894,0.460385573336,0.581198040157
34,0.3,0.486504093384,0.486190963157,0.716760395602
35,0.3,0.558576353793,0.57282264943,0.676264034351
36,0.3,0.607960889116,0.633923662105,0.6000975639
37,0.3,0.684674562986,0.683771437267,0.685874059244
38,0.3,0.646108269265,0.647827763072,0.689614961207
39,0.3,0.519869009908,0.495396692021,0.671564366999
40,0.4,0.619371765339,0.62139984614,0.6577064783
41,0.4,0.640681450444,0.642937549213,0.646887164963
42,0.4,0.562442858817,0.565293844549,0.667475001568
43,0.4,0.570191554327,0.574787533006,0.611549461144
44,0.4,0.619537586962,0.619485865752,0.632750578549
45,0.4,0.775695769477,0.775895838167,0.668049354811
46,0.4,0.57753295189,0.643877547644,0.656828390466
47,0.4,0.648023349188,0.650582584011,0.636878222234
48,0.4,0.553545644741,0.55596264769,0.613943441312
49,0.4,0.570780583548,0.570025695382,0.660838818608
50,0.5,0.66859517474,0.683347812436,0.66240232552
51,0.5,0.715918662899,0.712515393319,0.644267287711
52,0.5,0.675638181794,0.686124969827,0.691100143964
53,0.5,0.611566757288,0.44441856154,0.645474417258
54,0.5,0.653815842762,0.590347618697,0.543502099055
55,0.5,0.586873317008,0.587426045105,0.61224748996
56,0.5,0.54840692838,0.580895384933,0.488250076966
57,0.5,0.521545907208,0.51819195805,0.522792407313
58,0.5,0.664861677532,0.661213789344,0.72821118327
59,0.5,0.630837316966,0.641880600773,0.63491251799
60,0.6,0.762309760106,0.751683851342,0.738314665431
61,0.6,0.596889695874,0.590739774678,0.546591637024
62,0.6,0.725546451542,0.7152803499,0.694438915659
63,0.6,0.660108240645,0.634564964768,0.619004637475
64,0.6,0.589266373824,0.556057654578,0.590839507578
65,0.6,0.719535109684,0.725614199472,0.676766830782
66,0.6,0.684513150633,0.691991037669,0.731113926106
67,0.6,0.716251421209,0.724616386699,0.61372326554
68,0.6,0.640536787283,0.642798612922,0.72388829225
69,0.6,0.70830707675,0.693445042168,0.695624432254
70,0.7,0.63032717941,0.713555499508,0.726779957603
71,0.7,0.591097600544,0.552239743961,0.541255356421
72,0.7,0.604098891782,0.6627563645,0.58069426934
73,0.7,0.708579830959,0.725735216423,0.730439893499
74,0.7,0.544453952538,0.48823290302,0.658786093157
75,0.7,0.685114240151,0.683709977245,0.728672023968
76,0.7,0.575098259966,0.582748351388,0.58516331231
77,0.7,0.724051588281,0.736851636129,0.719306655339
78,0.7,0.558541743465,0.566362933697,0.539127741062
79,0.7,0.709766428371,0.709850976092,0.734708795351
80,0.8,0.82043322166,0.817548339565,0.816459584302
81,0.8,0.756006602537,0.7520684541,0.758148171341
82,0.8,0.743817970975,0.751661882258,0.719482088641
83,0.8,0.875820035429,0.873791118303,0.88008483558
84,0.8,0.775180749672,0.774626404784,0.739639571278
85,0.8,0.747858587041,0.748166703617,0.765451884247
86,0.8,0.760001178724,0.765745699058,0.757986731442
87,0.8,0.674381426646,0.677063664457,0.668072981666
88,0.8,0.660676793801,0.678555345034,0.692211046029
89,0.8,0.768349746181,0.773676661405,0.809634713772
90,0.9,0.810569290137,0.809542397351,0.789175783022
91,0.9,0.797710301978,0.793960173386,0.764044162612
92,0.9,0.71208421159,0.709816390973,0.626824489338
93,0.9,0.8893929532,0.888805976786,0.901194743107
94,0.9,0.742822127823,0.750358341944,0.708789629321
95,0.9,0.74915230475,0.747497092455,0.781286474303
96,0.9,0.763936938454,0.769174020218,0.756258200673
97,0.9,0.873411021124,0.872694800228,0.805129450346
98,0.9,0.863372940535,0.863366577247,0.851685413375
99,0.9,0.747981327122,0.568734452103,0.767468484074
100,1.0,0.872691368158,0.870360393874,0.865999841733
101,1.0,0.784268848373,0.785089945637,0.783798264463
102,1.0,0.721709367439,0.724508446696,0.722861275182
103,1.0,0.712295240353,0.734413379529,0.734435798163
104,1.0,0.893047871871,0.494659272804,0.894714094592
105,1.0,0.813425830844,0.818745063078,0.808981101996
106,1.0,0.802014534622,0.808923274955,0.808769539302
107,1.0,0.870908208348,0.863621842057,0.868155693802
108,1.0,0.691049143203,0.519865275157,0.713377672166
109,1.0,0.876987617365,0.87815601314,0.876635194463
0,0.0,0.505660048462,0.496167811613,0.507422833461
1,0.0,0.500368565807,0.498615305335,0.501870018502
2,0.0,0.528938436152,0.534294618048,0.498595677387
3,0.0,0.496380751758,0.494085947777,0.489578307778
4,0.0,0.456887601853,0.465058386247,0.504847483669
5,0.0,0.487396186398,0.493234838408,0.494070873919
6,0.0,0.43252024251,0.432102009728,0.496920273957
7,0.0,0.503324254629,0.505923740318,0.494897636
8,0.0,0.535948903792,0.548288872644,0.523395773148
9,0.0,0.404300068657,0.441640107653,0.499684374421
10,0.1,0.457725758525,0.483876432372,0.622338669803
11,0.1,0.59389879194,0.592684330024,0.796160913227
12,0.1,0.571632802567,0.533799654128,0.781895010119
13,0.1,0.601209394969,0.581094159728,0.771640995352
14,0.1,0.477891160444,0.479418404551,0.709301785801
15,0.1,0.406580677907,0.447377452623,0.498619152552
16,0.1,0.600451797094,0.601223683834,0.718963412824
17,0.1,0.492788274993,0.487709861316,0.601631929838
18,0.1,0.498533854996,0.489496662587,0.659726719175
19,0.1,0.566756527573,0.567077664823,0.735945952125
20,0.2,0.593167955944,0.592167436471,0.717793347283
21,0.2,0.581245709263,0.563529251191,0.705619721178
22,0.2,0.443431558564,0.444312321,0.551484562125
23,0.2,0.512576450945,0.512535294806,0.701301257187
24,0.2,0.50813063747,0.51689108193,0.653757524394
25,0.2,0.518091354003,0.51085480931,0.660228722452
26,0.2,0.438954430375,0.439925387326,0.649768878565
27,0.2,0.464527946372,0.472178102321,0.623905258937
28,0.2,0.585271845168,0.512920192142,0.596267594835
29,0.2,0.449637904743,0.518654846419,0.55307664061
30,0.3,0.57964303645,0.573740826954,0.684306118479
31,0.3,0.685291589284,0.68534773987,0.766789787459
32,0.3,0.504141145599,0.502528957955,0.657039062385
33,0.3,0.592214131451,0.539268778032,0.638507308078
34,0.3,0.57366309187,0.571571161286,0.719971166524
35,0.3,0.556467098355,0.555057687025,0.680260467139
36,0.3,0.603692063331,0.598480862431,0.638414765261
37,0.3,0.496281157069,0.500365052599,0.653249151846
38,0.3,0.623710347715,0.61347312903,0.652356321017
39,0.3,0.635085949797,0.629926345698,0.716149964004
40,0.4,0.552405241397,0.571400392811,0.565275555531
41,0.4,0.57214843402,0.417710250651,0.583082274808
42,0.4,0.708749287159,0.710396700115,0.69725294325
43,0.4,0.540581414088,0.537343580413,0.632584501985
44,0.4,0.588410653266,0.5575928554,0.635598458984
45,0.4,0.680671754837,0.686592232898,0.637229639394
46,0.4,0.579393395103,0.580989641032,0.689992541933
47,0.4,0.541690593289,0.588859098601,0.654618367805
48,0.4,0.606517392936,0.607023904877,0.573499294093
49,0.4,0.629651387976,0.625922623689,0.6350172285
50,0.5,0.642245107608,0.656182339106,0.681981738513
51,0.5,0.627479450826,0.632920582506,0.596084991602
52,0.5,0.594041948148,0.564544269082,0.588342914764
53,0.5,0.702310415231,0.705735470469,0.678517983538
54,0.5,0.774628435363,0.774950533628,0.780354872674
55,0.5,0.642997313085,0.639715537743,0.646434794275
56,0.5,0.491910584626,0.498937929125,0.502089695223
57,0.5,0.546299604335,0.549597086884,0.612697571135
58,0.5,0.699016607351,0.714776413516,0.673771542121
59,0.5,0.69284977954,0.692686315069,0.638887953346
60,0.6,0.536837695594,0.505708414957,0.595094829087
61,0.6,0.674895962162,0.670042763314,0.645726530456
62,0.6,0.697196616832,0.501332671945,0.577236447868
63,0.6,0.588931935468,0.50322534855,0.657469828019
64,0.6,0.589497535958,0.629876492094,0.585657312764
65,0.6,0.679324772553,0.506467849089,0.724512273926
66,0.6,0.650652069377,0.656456764396,0.654925599211
67,0.6,0.805073176597,0.813209294945,0.78499983034
68,0.6,0.604767589154,0.531497749962,0.615901618892
69,0.6,0.821406788741,0.816565214671,0.770241010293
70,0.7,0.785177547693,0.519466573133,0.803395653575
71,0.7,0.762022851809,0.769556815278,0.781075008443
72,0.7,0.675175578531,0.682259989736,0.605866098559
73,0.7,0.58122116512,0.641146321232,0.662042990539
74,0.7,0.57718440831,0.599250938931,0.59661185962
75,0.7,0.59252213752,0.659085191007,0.668829639461
76,0.7,0.542228983547,0.561495153001,0.638057615068
77,0.7,0.706144117739,0.55618167625,0.591130654996
78,0.7,0.802997861055,0.803157149149,0.790058233721
79,0.7,0.675525529562,0.372154015366,0.621881337657
80,0.8,0.731658046242,0.742491249585,0.702584613214
81,0.8,0.722941486702,0.51085840745,0.727180301205
82,0.8,0.639130010956,0.614311702693,0.625960071845
83,0.8,0.668709483525,0.331515886955,0.712191294217
84,0.8,0.715004490639,0.737070109435,0.766344073519
85,0.8,0.818787540309,0.816826323808,0.796296662586
86,0.8,0.761337058119,0.761239887558,0.765411156199
87,0.8,0.800477386695,0.804454627861,0.821877332686
88,0.8,0.761601808756,0.760218959028,0.733771062423
89,0.8,0.670250863844,0.675018267614,0.702626788919
90,0.9,0.816051965331,0.815548760119,0.82885643977
91,0.9,0.79860329152,0.799023809598,0.805912627297
92,0.9,0.74166365021,0.743979193176,0.696743993024
93,0.9,0.76913596877,0.766742422292,0.688330420036
94,0.9,0.748231815906,0.745960384391,0.743970277354
95,0.9,0.733102754122,0.740025990181,0.732757787361
96,0.9,0.693653147808,0.70072015479,0.661846711493
97,0.9,0.65640284414,0.661640052637,0.677195667595
98,0.9,0.721781892805,0.72831351172,0.763131340544
99,0.9,0.8069358664,0.80799724238,0.784389805957
100,1.0,0.76734691459,0.770927772587,0.770200740129
101,1.0,0.674911878577,0.675643084282,0.674123049186
102,1.0,0.870711884158,0.870954709152,0.871056074801
103,1.0,0.783701132697,0.784168866696,0.784892049219
104,1.0,0.852469213698,0.855719451745,0.85601150413
105,1.0,0.743311864272,0.744687796498,0.255579629534
106,1.0,0.841616764739,0.835305219884,0.841022478347
107,1.0,0.788706101007,0.793070587329,0.798246821845
108,1.0,0.839220070681,0.842751618499,0.839899231955
109,1.0,0.810312036033,0.799503830775,0.819586228497
