,g_true,mv,em,gf
0,0.0,0.5021857142857143,0.5039561621547896,0.5866013162293126
1,0.0,0.5344111111111112,0.5534530485799507,0.6247811577305729
2,0.0,0.5195095238095234,0.5181919452838153,0.5999407914425781
3,0.1,0.5193166666666668,0.5225533310354484,0.5679616593199264
4,0.1,0.5108349206349209,0.5099778176018606,0.5881025139855436
5,0.1,0.5375396825396827,0.5467872790215011,0.596478136064676
6,0.2,0.5728714285714283,0.601032484780383,0.6427650354426823
7,0.2,0.5324007936507941,0.5363886344414954,0.5813220597371345
8,0.2,0.5349880952380952,0.5423632741897061,0.6077095601207463
9,0.3,0.5767960317460319,0.608509628567496,0.6555203015064113
10,0.3,0.5542976190476187,0.5850445969620041,0.6126601822025194
11,0.3,0.5548039682539687,0.5760913537457089,0.6130759513654631
12,0.4,0.580463492063492,0.6135937793617967,0.6618142360746002
13,0.4,0.5653666666666662,0.5773423282605218,0.6192510001934424
14,0.4,0.5858261904761904,0.6142709857708001,0.6581539756968926
15,0.5,0.5892436507936503,0.6138224042284309,0.644123191592707
16,0.5,0.6034531746031747,0.6429280767707464,0.6652720012323112
17,0.5,0.6023198412698414,0.6363228690915554,0.6800092731448921
18,0.6,0.6100793650793653,0.6468292322355068,0.6888762256945334
19,0.6,0.6420357142857146,0.6988217355676045,0.7325134425665978
20,0.6,0.6079753968253968,0.643345171614008,0.6661035145053866
21,0.7,0.6264960317460313,0.6806051189604518,0.6987948676530544
22,0.7,0.6370484126984122,0.6886482103451863,0.7137594205134388
23,0.7,0.6337095238095244,0.6817399278771423,0.6933230386243957
24,0.8,0.658344444444445,0.7192806282728956,0.7287911433038622
25,0.8,0.6407873015873009,0.6954601215910843,0.6951233119090867
26,0.8,0.6581015873015875,0.7287898400168057,0.745814804290357
27,0.9,0.670093650793651,0.7564500752458622,0.7533377880487598
28,0.9,0.6928634920634918,0.8008174554950166,0.7942214574795573
29,0.9,0.7025920634920634,0.8137619276303883,0.7851847716057405
30,1.0,0.6982857142857143,0.8004140875918193,0.7605579491988063
31,1.0,0.7004301587301591,0.8077217445919727,0.7814685738460614
32,1.0,0.700851587301587,0.8111913632781791,0.7796669936056315
0,0.0,0.507284126984127,0.5139560507600637,0.5880775447672812
1,0.0,0.5066634920634921,0.5073610509775222,0.5665885744629655
2,0.0,0.5297142857142857,0.5466979790543894,0.6018357050379913
3,0.1,0.5089555555555555,0.5117340411089785,0.5768893447681942
4,0.1,0.5281912698412699,0.5332414946019133,0.5941020285343472
5,0.1,0.5161333333333328,0.5179047516574191,0.5654058119304601
6,0.2,0.5448746031746035,0.5594560435561294,0.6072425644108701
7,0.2,0.5390888888888892,0.5438660410747577,0.5857602700096745
8,0.2,0.5460277777777782,0.5640869992457358,0.6196144949169909
