,pi,mv,em,g,gf
0,1.0,0.7040000000000003,0.9921667691914423,0.9919901459672614,0.9717355795178375
1,1.0,0.7110000000000002,0.9978272477681499,0.9973311334064978,0.9971832348499352
2,1.0,0.706,0.9899860404202218,0.9878264375515714,0.9779564249703036
3,1.0,0.681,0.9817146157447817,0.9813025774571287,0.9782597186431176
4,1.0,0.7020000000000002,0.9926083193690123,0.9898834087801887,0.9699855171530953
5,0.95,0.674,0.9753694258385623,0.9723392413345694,0.9673649171496842
6,0.95,0.6770000000000003,0.9664530079770565,0.9649910661647682,0.9590926682145257
7,0.95,0.674,0.9592571107499956,0.9575446464570229,0.9454385473439615
8,0.95,0.6870000000000002,0.9898861071750887,0.9885018247923893,0.9899912783010968
9,0.95,0.6780000000000002,0.9604824815264267,0.9598502145957392,0.9457495826378168
10,0.9,0.621,0.9219675576420363,0.9174256952939192,0.9230365405062075
11,0.9,0.6380000000000002,0.9441877019144256,0.9421215677647578,0.9558307215299046
12,0.9,0.648,0.9552460999990225,0.9556497271611972,0.9529952859358373
13,0.9,0.6810000000000003,0.9614519242495956,0.9587641612996176,0.9418639451277193
14,0.9,0.6650000000000003,0.9741188837842464,0.972550879325515,0.964730231672365
15,0.85,0.6370000000000002,0.9339801105215243,0.927437984042233,0.9331251763688817
16,0.85,0.5980000000000004,0.9097697017391247,0.8984636246047625,0.9425734033108409
17,0.85,0.6020000000000002,0.9101971977406041,0.9101112437920773,0.8909767880997762
18,0.85,0.594,0.9000687169319483,0.8801347985630051,0.9084053971297821
19,0.85,0.6270000000000003,0.9503430818666299,0.9429075703761908,0.9446092160408185
20,0.8,0.6289999999999999,0.9069444820096685,0.9016778425309244,0.917249391856788
21,0.8,0.623,0.9003235698586859,0.8959041095345274,0.8945263125386108
22,0.8,0.5700000000000001,0.8649320692184526,0.8644056097749635,0.8979909250191683
23,0.8,0.6060000000000001,0.8859135720809279,0.8836915777340212,0.8723535304015323
24,0.8,0.5820000000000001,0.8385376707049745,0.8426864586982824,0.831191576325167
25,0.75,0.6050000000000001,0.8655984454285186,0.8646289814434214,0.9036696463979691
26,0.75,0.536,0.7267874092571553,0.7150359882054227,0.7065404248996283
27,0.75,0.5780000000000002,0.8300051914070399,0.8222237238289534,0.7929278583252156
28,0.75,0.5740000000000002,0.8699482472648686,0.8608148214951233,0.8898540207078162
29,0.75,0.5740000000000002,0.8410610755147135,0.8165898550642231,0.8384549946789549
30,0.7,0.5569999999999999,0.787961561868278,0.7707078957694926,0.7721025665519096
31,0.7,0.5669999999999998,0.7752509460218389,0.7631424587189827,0.8184371526512212
32,0.7,0.5580000000000002,0.7806533235393328,0.7771781925166984,0.829163165685408
33,0.7,0.5700000000000002,0.8224000870019051,0.8179323587178112,0.8638243818509138
34,0.7,0.536,0.6783036164784513,0.6987008514084,0.7934312742868818
0,1.0,0.7000000000000004,0.9833584009881268,0.9819362270914563,0.9717301085062545
1,1.0,0.6880000000000002,0.9744192620407018,0.9723537782599821,0.9794549592795851
2,1.0,0.701,0.9674407190224512,0.9669361464900081,0.9493583007907281
3,1.0,0.6930000000000001,0.9817127198265859,0.980438632997697,0.9657604146144294
