,pi,mv,em,g,gf
4,1.0,0.7119999999999997,0.9841592825791708,0.9847753568390331,0.9636941859107417
5,0.95,0.6510000000000002,0.9596155265025721,0.9569244943854548,0.9541446312270038
6,0.95,0.669,0.9800791363955345,0.9750902156944141,0.9801288619938043
7,0.95,0.685,0.975758333019002,0.9750204358079794,0.9770682146973408
8,0.95,0.6830000000000002,0.9858605907897464,0.9797031988898462,0.9671862779404804
9,0.95,0.6480000000000004,0.9666926971706127,0.9674024450510279,0.94632606736042
10,0.9,0.6579999999999999,0.9525075072542247,0.9470376908915611,0.9504147331275301
11,0.9,0.648,0.9641365893905314,0.961903446692876,0.9529254085911751
12,0.9,0.6459999999999999,0.9165835432357662,0.9151367845910358,0.9401921434731758
13,0.9,0.6470000000000006,0.9591606878603074,0.9538775912271595,0.9623728684852094
14,0.9,0.6640000000000001,0.9262364572643007,0.9244661805936518,0.9319883481754069
15,0.85,0.5970000000000002,0.8750482731074203,0.8772673104789073,0.8685019890988359
16,0.85,0.6270000000000001,0.9325118425237595,0.9259765973378421,0.917903480401125
17,0.85,0.5980000000000003,0.9011400500699572,0.8932401982508509,0.8574693525676224
18,0.85,0.6020000000000002,0.9071522124967208,0.9002522580837601,0.9173877420883333
19,0.85,0.6370000000000001,0.9615783690840692,0.9553804119567048,0.9603227050616422
20,0.8,0.6159999999999999,0.8727929401733371,0.8672441845108331,0.8913305274529795
21,0.8,0.5950000000000004,0.8929933864105334,0.8712401727783322,0.9299603967880247
22,0.8,0.5920000000000002,0.8742789443914388,0.8627157077647132,0.8485050619695739
23,0.8,0.6119999999999998,0.8653574377344061,0.8721672656325312,0.8507840040635898
24,0.8,0.616,0.8929501124328602,0.8762442176958819,0.919038960745051
25,0.75,0.545,0.7627296776718514,0.7556370781966338,0.8165959027215827
26,0.75,0.5650000000000002,0.8167936267569651,0.8008302705460696,0.8101267535831828
27,0.75,0.581,0.8445673223215618,0.8344437890739366,0.8777318779924396
28,0.75,0.5770000000000001,0.8264021919855149,0.8187689889797919,0.8517155489083078
29,0.75,0.5680000000000003,0.8016524500112924,0.7987713293979543,0.8342279008442511
30,0.7,0.552,0.7690540273961542,0.7627256557264422,0.778790373771553
31,0.7,0.5820000000000001,0.8174923313448899,0.8023889861912004,0.7899876451631452
32,0.7,0.5260000000000001,0.7530519076124933,0.7444549305445823,0.767580852330947
33,0.7,0.5650000000000003,0.8212156628684003,0.8128295157279141,0.8379041780900303
34,0.7,0.5519999999999999,0.8081148695766833,0.8155832044524979,0.8955378939324538
