acc,cov,mv,em,g
0.7,0.7,0.6948730158730149,0.9116859751903887,0.9125284174304658
0.7,0.8,0.6915769841269833,0.9475310953477305,0.9458580957926292
0.7,0.9,0.6999825396825405,0.9716122580365815,0.9703578426963818
0.7,1.0,0.7070000000000011,0.9828736398163744,0.9826244382708044
0.75,0.7,0.7451694444444447,0.9525583864862163,0.951939166745139
0.75,0.8,0.7557900793650801,0.9829419107996838,0.9824905199974077
0.75,0.9,0.7529198412698428,0.9914282207621107,0.9913734154958377
0.75,1.0,0.7408999999999981,0.9914119423224382,0.9911154604534681
0.8,0.7,0.8030515873015868,0.9810249283734771,0.9809132429152108
0.8,0.8,0.811855555555556,0.993412813962299,0.9930998689392826
0.8,0.9,0.7990861111111133,0.9956161793711801,0.9956385361141008
0.8,1.0,0.7996999999999966,0.9987792993687233,0.9987308186219285
0.85,0.7,0.852555555555556,0.9919996541399915,0.9917544044542863
0.85,0.8,0.8473051587301603,0.9940458908603348,0.9940469725817409
0.85,0.9,0.8584829365079375,0.9997621295781033,0.9997283652670896
0.85,1.0,0.8530999999999933,0.9983907427670251,0.9983803740908753
0.9,0.7,0.9038817460317476,0.9982182441906766,0.9981832487903768
0.9,0.8,0.8987845238095259,0.999067329220762,0.9990177998427651
0.9,0.9,0.8926611111111125,0.9998639979292834,0.9998704717603154
0.9,1.0,0.8980999999999926,0.9999981140337538,0.9999975425392479
0.95,0.7,0.9476920634920643,0.9994426930205256,0.9994391852028145
0.95,0.8,0.9454547619047642,0.9998707891628068,0.999840281814309
0.95,0.9,0.9520337301587309,0.9999994324623045,0.9999994762673614
0.95,1.0,0.948499999999994,0.9999999779345785,0.9999999783100453
1.0,0.7,1.0,1.0,1.0
1.0,0.8,1.0,1.0,1.0
1.0,0.9,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.7,0.7,0.7050623015873012,0.9168236341395002,0.9157740235424209
0.7,0.8,0.6981607142857149,0.948377838717782,0.9459595409941303
0.7,0.9,0.7037222222222235,0.9714992032226,0.9704390429169415
0.7,1.0,0.6968000000000004,0.9797548576691194,0.9793267601883134
0.75,0.7,0.7482444444444446,0.9541625841313268,0.9535287047648419
0.75,0.8,0.756221031746032,0.9761085753359029,0.975633317433925
0.75,0.9,0.74718015873016,0.9860602822492441,0.9856613090940533
0.75,1.0,0.7588999999999979,0.9926955662908727,0.9925616545485436
0.8,0.7,0.7998825396825403,0.9790865202855474,0.9790254984548362
0.8,0.8,0.7946174603174618,0.9894074450917058,0.9893374922721807
0.8,0.9,0.7993206349206374,0.9955295035001736,0.9955038280485228
0.8,1.0,0.805899999999997,0.9986261226552913,0.9985768508199374
0.85,0.7,0.8456615079365088,0.9916936467564447,0.991583827335292
0.85,0.8,0.8561706349206363,0.998149243512654,0.9981591597672274
0.85,0.9,0.8432503968253976,0.9995668165655536,0.9995672295476323
0.85,1.0,0.8465999999999931,0.9994654865030514,0.9994300353609914
0.9,0.7,0.9016511904761914,0.997175816663097,0.9971699955193415
0.9,0.8,0.8966170634920656,0.9995490114156528,0.9995175348049689
0.9,0.9,0.8981226190476198,0.9999657360403057,0.9999636456794372
0.9,1.0,0.9011999999999927,0.9999943356717164,0.9999936283118069
0.95,0.7,0.949626587301589,0.9995824084333937,0.9996099554007664
0.95,0.8,0.9500571428571437,0.9999898175834269,0.9999882807839781
0.95,0.9,0.9537107142857146,0.9999991463844998,0.9999990187104529
0.95,1.0,0.9535999999999946,0.9999999997787085,0.9999999997605414
1.0,0.7,1.0,1.0,1.0
1.0,0.8,1.0,1.0,1.0
1.0,0.9,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.7,0.7,0.7107551587301585,0.9237845576064325,0.9214569987021132
0.7,0.8,0.6953742063492071,0.9472939039222668,0.946831562922139
0.7,0.9,0.7029809523809533,0.974330658176671,0.9741961834994138
0.7,1.0,0.6845000000000008,0.9744644229606567,0.9743241014640843
0.75,0.7,0.7698789682539672,0.9707142260749937,0.970052910580061
0.75,0.8,0.7442662698412714,0.9767270357759694,0.9754779771510913
0.75,0.9,0.7425317460317475,0.9872167068596038,0.9867428312047878
0.75,1.0,0.7477999999999986,0.9943124773028809,0.9943668513202709
0.8,0.7,0.8026373015873011,0.9834820894217161,0.9833322038171514
0.8,0.8,0.8050511904761911,0.9916879725922625,0.9914235638258632
0.8,0.9,0.8037519841269858,0.996042450582868,0.9959903582204667
0.8,1.0,0.7955999999999966,0.9981717295965731,0.9981314814057405
0.85,0.7,0.8515281746031752,0.9916871822891056,0.9917534923622968
0.85,0.8,0.8479591269841289,0.9969141284948424,0.9968740074399559
0.85,0.9,0.8479515873015885,0.9991332901396446,0.999114889705925
0.85,1.0,0.8439999999999942,0.999319462917657,0.9993319131186551
0.9,0.7,0.8997500000000005,0.9969547577301523,0.9969047203863856
0.9,0.8,0.9053626984127003,0.9997156894881982,0.9997116136895524
0.9,0.9,0.8994146825396829,0.9999816403174336,0.9999795873305263
0.9,1.0,0.9010999999999918,0.9999970316937848,0.9999965075892314
0.95,0.7,0.9485591269841281,0.9999263568566957,0.9999065999600439
0.95,0.8,0.9515170634920644,0.9999920738816814,0.9999920875240887
0.95,0.9,0.9509047619047623,0.999999914797832,0.9999999054477778
0.95,1.0,0.9520999999999947,0.9999999838347431,0.9999999857508254
1.0,0.7,1.0,1.0,1.0
1.0,0.8,1.0,1.0,1.0
1.0,0.9,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.7,0.7,0.6965277777777774,0.915729877517444,0.9151205039702693
0.7,0.8,0.698530158730159,0.9469025722905312,0.9449168686479897
0.7,0.9,0.7056472222222236,0.9713537045582151,0.9708924681960136
0.7,1.0,0.698,0.9762260791727927,0.9761256160858273
0.75,0.7,0.7520234126984121,0.9533544181762003,0.9526639728214903
0.75,0.8,0.7431809523809538,0.9678145456408112,0.9671534850797929
0.75,0.9,0.7479638888888908,0.988733956989049,0.9890301681035543
0.75,1.0,0.7565999999999972,0.9944697098306743,0.9944036969695027
0.8,0.7,0.792955952380952,0.9751259828029485,0.9748495406028391
0.8,0.8,0.8006182539682558,0.9891631018056777,0.9888820391950744
0.8,0.9,0.7995305555555573,0.9951776427013576,0.9950821323063511
0.8,1.0,0.8040999999999954,0.9991935497374003,0.9991825660753233
0.85,0.7,0.8533583333333344,0.9906610969779677,0.9906438612102448
0.85,0.8,0.8570547619047638,0.998165209155307,0.9981672757536865
0.85,0.9,0.8441523809523827,0.9980478939230996,0.9979889030024935
0.85,1.0,0.8461999999999942,0.999501115247911,0.9994514093785526
0.9,0.7,0.9008472222222225,0.9985405090637667,0.9985490297562718
0.9,0.8,0.8990734126984145,0.9996574886325523,0.9996875617216623
0.9,0.9,0.8983305555555575,0.9999857294445744,0.9999842749178827
0.9,1.0,0.8987999999999927,0.9999973467611142,0.9999976862947865
0.95,0.7,0.9499757936507954,0.9998217629842376,0.9998026412053947
0.95,0.8,0.9499480158730178,0.9999977176482657,0.9999973752573901
0.95,0.9,0.9505615079365082,0.9999996394085021,0.9999995349626687
0.95,1.0,0.9494999999999946,0.9999999994114328,0.9999999993555907
1.0,0.7,1.0,1.0,1.0
1.0,0.8,1.0,1.0,1.0
1.0,0.9,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.7,0.7,0.6846507936507933,0.8996326301405877,0.8985814800042751
0.7,0.7,0.698570238095238,0.9175944879231296,0.9159915075978683
0.7,0.7,0.7068257936507933,0.9243998588208152,0.9233489833853952
0.7,0.7,0.7015416666666658,0.9175800308409839,0.9152142840720003
0.7,0.7,0.7020531746031741,0.9185808584797107,0.9187481644893197
0.7,0.8,0.6941269841269837,0.9477900092584741,0.9467611697890126
0.7,0.8,0.6988884920634927,0.9463751519607326,0.9454323344667305
0.7,0.8,0.7048718253968254,0.9529498612146343,0.952933463576799
0.7,0.8,0.699479761904762,0.9456704353654224,0.9430190679096576
0.7,0.8,0.6942226190476184,0.9475892692699766,0.9468311783681399
0.7,0.9,0.7035801587301599,0.9702315925920182,0.9695820993731769
0.7,0.9,0.704791666666667,0.9669177778965735,0.9666310398287052
0.7,0.9,0.7016591269841288,0.9714749113464571,0.9705579964089628
0.7,0.9,0.7047432539682554,0.9749855361757371,0.9744150627476266
0.7,0.9,0.7006337301587304,0.9704048923181333,0.9696171271986587
0.7,1.0,0.7019000000000017,0.9762678535270952,0.9760579228274374
0.7,1.0,0.7047000000000014,0.9841628309272897,0.9837935318109983
0.7,1.0,0.6924000000000005,0.9803539748105196,0.9805460789722273
0.7,1.0,0.6994999999999991,0.984512513442746,0.9842120100983226
0.7,1.0,0.7091000000000007,0.9883473407904929,0.9881018624397965
0.75,0.7,0.7390853174603164,0.9517026903942544,0.9530918864740846
0.75,0.7,0.744271825396824,0.9474399010964745,0.9456841391898486
0.75,0.7,0.7476761904761897,0.9521785220945278,0.9511685779942448
0.75,0.7,0.7449829365079352,0.9524292356746592,0.9535239053129727
0.75,0.7,0.7487174603174608,0.9498375890882677,0.9500791592714345
0.75,0.8,0.7555452380952394,0.9783287321041569,0.9772239571113158
0.75,0.8,0.7479392857142866,0.976067333044963,0.9757186460063499
0.75,0.8,0.7529369047619052,0.9793271822491771,0.9791485664663521
0.75,0.8,0.7513424603174612,0.9758246484192691,0.974898374743861
0.75,0.8,0.7530150793650799,0.9770187435006373,0.9760373792966132
0.75,0.9,0.7474492063492085,0.9898584847611032,0.9894614586950676
0.75,0.9,0.7478484126984137,0.9836706155590461,0.9838481554982569
0.75,0.9,0.7517428571428587,0.9882626538439405,0.9883659019039372
0.75,0.9,0.7544246031746048,0.9878818664857669,0.9876690492496936
0.75,0.9,0.7418805555555569,0.9879508702294179,0.9874462301038373
0.75,1.0,0.7542999999999973,0.9922806007376327,0.9923404935284541
0.75,1.0,0.7551999999999987,0.9945289187172548,0.9946574853817655
0.75,1.0,0.7455999999999998,0.9940978881122318,0.9940171712532259
0.75,1.0,0.7510999999999997,0.9934093462880131,0.9935196284619562
0.75,1.0,0.7499999999999991,0.9884201649346098,0.9882611536006415
0.8,0.7,0.7940952380952383,0.9762848884029088,0.9747942689698866
0.8,0.7,0.8044865079365079,0.9823462757693654,0.9819797288612669
0.8,0.7,0.7983035714285712,0.9741139002773025,0.9737744894719915
0.8,0.7,0.7972000000000002,0.9791426321759915,0.9789389506073651
0.8,0.7,0.8018615079365071,0.9760545227639936,0.9753200212883134
0.8,0.8,0.7975329365079378,0.9889686232984298,0.9888041393579607
