acc,cov,em_ac_err,g_ac_err
0.7,0.7,0.16896157912467913,0.26022780044765714
0.7,0.8,0.24199232837714946,0.2338796255972091
0.7,0.9,0.12266968024324498,0.16361125342765348
0.7,1.0,0.1821751138855412,0.25037178290212003
0.75,0.7,0.18528376708772132,0.22332513795526232
0.75,0.8,0.12978996365717643,0.21739133369744557
0.75,0.9,0.11317256021011757,0.16222347171721185
0.75,1.0,0.16766523788355225,0.21888539043558652
0.8,0.7,0.12688612651849762,0.20216767852992623
0.8,0.8,0.11612137226690522,0.2172959788117188
0.8,0.9,0.13694576202451658,0.1366811228323911
0.8,1.0,0.11420227716858733,0.1483269941487404
0.85,0.7,0.15299249432999273,0.13195118124886995
0.85,0.8,0.13099021534254351,0.13274334596697046
0.85,0.9,0.12021334328071898,0.1687259714517486
0.85,1.0,0.08316552125193766,0.14865639531673713
0.9,0.7,0.08111751309485205,0.08237384813270676
0.9,0.8,0.07910400953740171,0.14844907243798444
0.9,0.9,0.05230527766422377,0.12552887171238836
0.9,1.0,0.052994637420548996,0.08731148294717128
0.95,0.7,0.07018104571662809,0.10968286027467311
0.95,0.8,0.06840271081267657,0.11935825317661419
0.95,0.9,0.043653220696113215,0.026747089202856955
0.95,1.0,0.08100009490172799,0.08798902834627276
1.0,0.7,0.0,0.011863764571155344
1.0,0.8,0.0,0.008186966888448999
1.0,0.9,0.0,0.009267352413044216
1.0,1.0,0.0,0.017806224620656175
0.7,0.7,0.2230616943896504,0.2868225176524256
0.7,0.8,0.1461764550902025,0.24913487581997884
0.7,0.9,0.07950557379947631,0.14321058802888087
0.7,1.0,0.14305135212271147,0.19237821246020304
0.75,0.7,0.16099106857708312,0.17518814115378312
0.75,0.8,0.14302130955157766,0.23160983800436397
0.75,0.9,0.15588159070365193,0.1388580071720641
0.75,1.0,0.16229704346767426,0.16590990508479564
0.8,0.7,0.12577481977548322,0.1766344213488963
0.8,0.8,0.08326632237665821,0.13467648454799175
0.8,0.9,0.08791113523348304,0.1412460957357854
0.8,1.0,0.12376336473638183,0.10552737385316757
0.85,0.7,0.11154471674050981,0.19387594730283253
0.85,0.8,0.11858588423634353,0.15063681673514684
0.85,0.9,0.09149586200578774,0.09021150185692384
0.85,1.0,0.07120124562553709,0.167113059914885
0.9,0.7,0.058592849571687755,0.124638221604083
